,Correlation,Adj. P-val,Name,Interacting Cell Type Pathway 1,Interacting Cell Type Pathway 2
38,-0.16028608357398663,0.00032008591140629425,send ANGPT send CD52,"small preB, Neutro prog, B cell, Dendritic cells, proB, CLP","ECArteriolar, ECArteriar, ECSinusoidal"
26,-0.15997202919068104,0.00032898958134773624,send SEMA4 receive SELL,"small preB, Neutro prog, GMP, CMP, Neutrophils, CLP","MSPCAdipo, MSPCOsteo"
30,-0.15991878888189492,0.00033052169816154644,send CD52 receive SELL,"EoBaso prog, large preB, CMP","small preB, Neutro prog, B cell, Dendritic cells, proB, CLP"
21,-0.1597586609965904,0.0003351699732991918,receive CD52 receive SELL,"Mono prog, NK cells, B cell, Neutro prog, Dendritic cells, GranMono prog, GMP, Neutrophils, CMP, MPP, LMPPs, T cells, Monocytes","Mono prog, Neutro prog, B cell, NK cells, Dendritic cells, GranMono prog, GMP, MPP, CMP, lin, CLP, LMPPs, Monocytes"
39,-0.15943300031245175,0.0003448121452571377,receive CCL send GALECTIN,"B cell, Neutrophils, Monocytes",lin
40,-0.15943211719316666,0.00034483864088426827,send COMPLEMENT send MHC-I,T cells,"Neutrophils, Monocytes"
31,-0.15813482718661517,0.0003858779198375291,send CD34 receive CD52,"MPP, Neutro prog, CMP",ECSinusoidal
42,-0.15613600885797052,0.00045810348010747256,receive APP send SELL,"Mono prog, Neutro prog, Myofibroblasts","Mono prog, GranMono prog, CMP, ECArteriar, ECArteriolar, LMPPs"
22,-0.15599089886383175,0.00046380861068349034,send CCL receive PARs,"EoBaso prog, Mono prog, Neutro prog, NK cells, Dendritic cells, GranMono prog, GMP, CMP, MPP, lin, LMPPs","Neutrophils, Monocytes"
37,-0.15571337925534212,0.00047490404087010624,receive CCL receive IGF,"MSPCAdipo, B cell, Osteo, Pericytes, Neutrophils, MSPCOsteo, Monocytes","MSPCAdipo, Osteo, Fibroblasts, MSPCOsteo, Pericytes"
43,-0.15455998512350494,0.0005237148677368265,receive GALECTIN send MIF,"Neutro prog, lin","B cell, Fibroblasts, Dendritic cells, Myofibroblasts, CLP"
41,-0.15405796970850916,0.0005463826261126012,send CD52 send GALECTIN,"small preB, Neutro prog, B cell, Dendritic cells, EryMk prog, CMP, proB, CLP","B cell, EryMk prog, Dendritic cells, CMP, CLP"
45,-0.1527835463062144,0.0006080842865825062,send ANGPT send VISTA,Schwanncells,"ECArteriolar, ECArteriar, ECSinusoidal"
44,-0.15222997074607914,0.0006368494331947165,send COMPLEMENT send GALECTIN,"Neutrophils, Monocytes","EoBaso prog, GranMono prog, Fibroblasts"
46,-0.1501784975435723,0.0007548130326475429,send PSAP receive PARs,Monocytes,Schwanncells
47,-0.14919937806058936,0.0008179737851154008,receive CEACAM receive MK,"Osteo, Dendritic cells","Osteo, ECSinusoidal"
