,Correlation,Adj. P-val,Name,Interacting Cell Type Pathway 1,Interacting Cell Type Pathway 2
48,0.13783465550568097,0.0020072884758616815,receive CSF receive MIF,"Osteo, Mk prog, Neutrophils, Smoothmuscle, LMPPs, MSPCOsteo, Pericytes, EoBaso prog, Neutro prog, Dendritic cells, MEP, GranMono prog, EryMk prog, MPP, HSC, lin, large preB, proB, CLP, Monocytes, MSPCAdipo, Mono prog, B cell, small preB, Ery prog, Schwanncells, GMP, CMP, Myofibroblasts, Osteoblasts","MSPCAdipo, Chondrocytes, Osteo, Fibroblasts, Schwanncells, ECArteriar, Myofibroblasts, ECArteriolar, Osteoblasts, Smoothmuscle, MSPCOsteo, ECSinusoidal, Pericytes"
56,0.1379434981089203,0.0019907098514648698,receive GRN receive SELL,"Mono prog, small preB, NK cells, B cell, Dendritic cells, GranMono prog, T cells, Monocytes","MSPCAdipo, Mono prog, NK cells, Osteo, B cell, Dendritic cells, GranMono prog, Osteoblasts, T cells, MSPCOsteo, Monocytes"
125,0.1382997183713807,0.0019373235087986771,receive APP send ICAM,"MPP, lin",EryMk prog
67,0.13831000260162632,0.0019358018719065298,send CD34 receive GRN,"MSPCAdipo, Mono prog, small preB, Osteo, Dendritic cells, Osteoblasts, MSPCOsteo, Monocytes",ECSinusoidal
55,0.13838315190335382,0.001925010354349743,send SELPLG receive SELE,ECSinusoidal,"GMP, lin"
131,0.1386506828432537,0.0018860096266529003,send CXCL send MHC-II,"NK cells, Dendritic cells",Dendritic cells
137,0.13891522019251482,0.001848158044321272,receive GALECTIN send LCK,GMP,T cells
59,0.13909252929554108,0.001823178474894583,send CXCL receive PARs,"EoBaso prog, Mono prog, NK cells, Neutro prog, GranMono prog, GMP, MPP, lin, Monocytes","NK cells, Dendritic cells"
133,0.13913163462652536,0.0018177110582512411,receive ANGPTL send ICAM,"Chondrocytes, Osteo, Fibroblasts, Pericytes",lin
72,0.1391766535299105,0.0018114354533109883,send MHC-I receive PECAM1,"small preB, B cell, LMPPs","T cells, NK cells"
73,0.1391766535299105,0.0018114354533109883,send MHC-I send PECAM1,"small preB, NK cells, T cells","T cells, NK cells, B cell, LMPPs"
142,0.13932252942896423,0.0017912365828994252,send CXCL receive SEMA7,MSPCOsteo,"NK cells, Dendritic cells"
143,0.13938595861497102,0.0017825183448675025,receive CSF send MIF,"MSPCAdipo, Smoothmuscle, MSPCOsteo, Pericytes",HSC
102,0.13992797550575817,0.0017095897527471648,send GRN receive SELL,"Mono prog, NK cells, B cell, Dendritic cells, GranMono prog, T cells, Monocytes",Schwanncells
147,0.13996582543001276,0.0017046006693275156,send CCL send COMPLEMENT,Neutrophils,Neutrophils
148,0.1399658254300128,0.0017046006693275087,send COMPLEMENT send CCL,Neutrophils,Monocytes
65,0.1399985059097559,0.001700303726024314,receive APP receive CD22,"GranMono prog, B cell, Neutrophils","MSPCAdipo, Chondrocytes, Osteo, Fibroblasts, B cell, Schwanncells, GMP, MPP, lin, ECArteriar, ECArteriolar, Osteoblasts, MSPCOsteo, ECSinusoidal"
66,0.13999850590975596,0.0017003037260243062,receive APP send CD45,"MSPCAdipo, Chondrocytes, Osteo, Fibroblasts, GranMono prog, Schwanncells, GMP, MPP, Neutrophils, lin, ECArteriar, ECArteriolar, Osteoblasts, MSPCOsteo, ECSinusoidal","B cell, ECSinusoidal"
76,0.14044598484415202,0.0016424582707201913,receive APP receive COLLAGEN,"Neutro prog, Osteo, Schwanncells, Myofibroblasts, Osteoblasts, Smoothmuscle, Pericytes","MSPCAdipo, Chondrocytes, Osteo, Fibroblasts, Schwanncells, ECArteriar, Myofibroblasts, ECArteriolar, Osteoblasts, Smoothmuscle, MSPCOsteo, ECSinusoidal, Pericytes"
152,0.1406109839690484,0.0016215885050024274,send CD45 receive CCL,MSPCAdipo,"B cell, ECSinusoidal"
151,0.1406109839690484,0.0016215885050024274,receive CCL receive CD22,B cell,MSPCAdipo
135,0.14061415205583003,0.0016211901839357217,receive ANGPTL receive SEMA4,"B cell, Dendritic cells, MEP, Osteoblasts, Monocytes","MSPCAdipo, MEP, Osteoblasts, MSPCOsteo, ECSinusoidal"
119,0.14064694809811035,0.0016170720352425933,receive APP receive TENASCIN,"Neutro prog, Osteo, Myofibroblasts, Osteoblasts, Smoothmuscle","MSPCAdipo, Osteo, Fibroblasts, Myofibroblasts, Osteoblasts, MSPCOsteo"
153,0.1408302041125771,0.001594237006617342,send CCL send CLEC,"Mono prog, Monocytes",Dendritic cells
158,0.14152832532610748,0.0015099309137280783,send CXCL receive SEMA3,Fibroblasts,"NK cells, Dendritic cells"
157,0.14164604796295632,0.0014961247947006273,receive FN1 send SELL,"Chondrocytes, Osteo, Fibroblasts, Osteoblasts, MSPCOsteo, Monocytes",lin
139,0.14179657943036725,0.001478639901334387,send CD52 send IL16,"proB, Neutro prog, Dendritic cells, small preB","HSC, B cell, Dendritic cells, CLP"
155,0.14191988311690723,0.001464457710870346,send CD34 receive ICAM,"EoBaso prog, ECArteriar, ECSinusoidal, EryMk prog",ECSinusoidal
24,0.14210259435888728,0.001443672251774912,receive MK receive SELPLG,"EoBaso prog, Mono prog, small preB, NK cells, Dendritic cells, GranMono prog, GMP, MPP, T cells, CMP, lin, CLP, LMPPs, Monocytes","MSPCAdipo, Osteo, MSPCOsteo"
161,0.14226421974344708,0.0014255118861795399,send GRN receive KIT,"MSPCAdipo, ECArteriar, ECArteriolar, MSPCOsteo, Pericytes",Schwanncells
74,0.14234229978981908,0.0014168141735867409,send PSAP send PECAM1,"EoBaso prog, small preB, NK cells, T cells, LMPPs, Smoothmuscle",Schwanncells
75,0.14234229978981908,0.0014168141735867409,send PSAP receive PECAM1,"EoBaso prog, small preB, NK cells, T cells, LMPPs, Smoothmuscle",Schwanncells
80,0.14264032717133263,0.0013840619918764408,receive PTN receive SELPLG,"EoBaso prog, Mono prog, small preB, Neutro prog, NK cells, Dendritic cells, GranMono prog, GMP, T cells, MPP, CMP, lin, CLP, LMPPs, Monocytes","Schwanncells, Osteoblasts, Osteo"
98,0.14304197470050592,0.001341023158643089,receive CCL receive GRN,"small preB, Neutro prog, B cell, Neutrophils, Monocytes","Mono prog, B cell, GranMono prog, lin, ECArteriar, ECArteriolar, ECSinusoidal, Monocytes"
70,0.14309727781924084,0.0013351944973651378,receive FN1 receive SEMA4,"Osteoblasts, B cell, Dendritic cells, Monocytes","Chondrocytes, Osteo, Fibroblasts, B cell, Dendritic cells, Osteoblasts, MSPCOsteo, Monocytes"
164,0.1432238217627254,0.0013219449842564962,receive COLLAGEN send PSAP,"MSPCAdipo, Chondrocytes, Osteo, Fibroblasts, Schwanncells, ECArteriar, Myofibroblasts, ECArteriolar, Osteoblasts, Smoothmuscle, MSPCOsteo, ECSinusoidal, Pericytes",Schwanncells
138,0.14328049730871184,0.0013160502000603845,send GALECTIN send OSM,"Neutro prog, MEP, GranMono prog, MPP, lin, CLP","MSPCAdipo, Chondrocytes, Osteo, ECArteriar, ECArteriolar, Osteoblasts, MSPCOsteo, ECSinusoidal"
58,0.14337334716051553,0.0013064451907567399,receive CCL receive JAM,"MSPCAdipo, MSPCOsteo",ECSinusoidal
9,0.14355679504935592,0.001287657455833721,receive CCL receive MIF,"Mk prog, Osteo, Neutrophils, Smoothmuscle, LMPPs, MSPCOsteo, Pericytes, EoBaso prog, Neutro prog, NK cells, EryMk prog, MEP, GranMono prog, Dendritic cells, MPP, HSC, lin, large preB, proB, CLP, Monocytes, MSPCAdipo, Mono prog, B cell, Erythroblasts, small preB, Ery prog, Schwanncells, GMP, CMP, Myofibroblasts, Osteoblasts, T cells","MSPCAdipo, Chondrocytes, Fibroblasts, ECArteriar, ECArteriolar, MSPCOsteo, ECSinusoidal"
170,0.14358727275895034,0.0012845602878809106,receive GRN send LAIR1,"MSPCAdipo, Osteo, Dendritic cells, Osteoblasts, MSPCOsteo, Monocytes",Monocytes
22,0.14362611854814408,0.0012806226868525806,send CCL receive GRN,"MSPCAdipo, Mono prog, small preB, Neutro prog, Osteo, Dendritic cells, GranMono prog, lin, Osteoblasts, MSPCOsteo, ECSinusoidal, Monocytes",Neutrophils
172,0.14371294920747846,0.0012718612353277534,send CD34 send GRN,Schwanncells,ECSinusoidal
150,0.14380794218065568,0.0012623393993942353,send CD52 receive THBS,"Chondrocytes, Osteo, Fibroblasts, Neutrophils, Osteoblasts, Smoothmuscle, MSPCOsteo","small preB, Neutro prog, B cell, Dendritic cells, proB, CLP"
174,0.1438202523857774,0.0012611102721989623,receive CCL send MHC-II,MSPCOsteo,Dendritic cells
166,0.14390345613570305,0.0012528315368958,receive ANGPTL receive CSF,"MSPCAdipo, Osteo, Smoothmuscle, MSPCOsteo, Pericytes","MSPCAdipo, Chondrocytes, Osteo, Fibroblasts, MSPCOsteo, Pericytes"
28,0.14405941085178228,0.0012374487385487197,receive APP send SELPLG,"MSPCAdipo, Mono prog, Chondrocytes, Neutro prog, Pericytes, Fibroblasts, Osteo, Schwanncells, lin, ECArteriar, Myofibroblasts, ECArteriolar, Osteoblasts, Smoothmuscle, MSPCOsteo, ECSinusoidal, Monocytes","EoBaso prog, Mono prog, small preB, NK cells, B cell, Neutro prog, Dendritic cells, GranMono prog, T cells, Neutrophils, CMP, large preB, CLP, LMPPs, ECSinusoidal, Monocytes"
124,0.14421168054719358,0.001222597375019798,receive ICAM receive SELL,"EoBaso prog, Mono prog, Neutro prog, NK cells, B cell, EryMk prog, Dendritic cells, GranMono prog, CMP, T cells, Neutrophils, CLP, LMPPs, Monocytes","EoBaso prog, B cell, EryMk prog, Dendritic cells, CMP, ECArteriar, CLP, ECSinusoidal"
176,0.14439267402059075,0.0012051580433005778,send PSAP send VCAM,HSC,Schwanncells
1,0.14442144152971512,0.0012024073918385858,send PECAM1 receive SELPLG,"Neutrophils, LMPPs, EoBaso prog, Neutro prog, NK cells, Dendritic cells, MEP, GranMono prog, MPP, lin, proB, CLP, Monocytes, Mono prog, B cell, small preB, GMP, CMP, T cells","Mono prog, small preB, NK cells, B cell, Dendritic cells, GranMono prog, T cells, LMPPs"
2,0.14442144152971512,0.0012024073918385858,receive PECAM1 receive SELPLG,"EoBaso prog, Mono prog, small preB, NK cells, B cell, Neutro prog, Dendritic cells, GranMono prog, Neutrophils, proB, LMPPs, T cells, Monocytes","EoBaso prog, Mono prog, NK cells, B cell, Dendritic cells, MEP, GranMono prog, GMP, MPP, CMP, lin, Neutrophils, CLP, LMPPs, Monocytes"
167,0.14443850154601912,0.0012007789034773459,receive CCL receive THBS,"Osteo, Neutrophils, Osteoblasts, Smoothmuscle, MSPCOsteo","Fibroblasts, MSPCOsteo, Chondrocytes"
162,0.14470772020059564,0.0011753477544921664,send ANGPT send MHC-I,"T cells, NK cells","ECArteriolar, ECArteriar, ECSinusoidal"
14,0.14483809336006662,0.00116321150828161,send APP receive GRN,"MSPCAdipo, Mono prog, small preB, Osteo, Dendritic cells, Osteoblasts, MSPCOsteo, ECSinusoidal, Monocytes","B cell, Dendritic cells, CLP"
7,0.1451272121864824,0.0011367086901893555,receive SELPLG receive TENASCIN,"EoBaso prog, Neutro prog, GMP, MPP, CMP, lin, CLP","MSPCAdipo, Osteo, Fibroblasts, Osteoblasts, MSPCOsteo"
168,0.14514473686046966,0.001135120274204652,send APP receive CCL,"B cell, Neutrophils, Monocytes","B cell, Dendritic cells, CLP"
181,0.14520163165908215,0.001129977486790584,receive FN1 send MHC-I,"Chondrocytes, Osteo, Fibroblasts, Osteoblasts, MSPCOsteo, Monocytes",T cells
25,0.14527274557144593,0.001123579614415826,receive COLLAGEN send SELPLG,"MSPCAdipo, Chondrocytes, Osteo, Fibroblasts, Schwanncells, ECArteriar, Myofibroblasts, ECArteriolar, Osteoblasts, Smoothmuscle, MSPCOsteo, ECSinusoidal, Pericytes","GMP, lin"
90,0.1452769558933692,0.0011232018752831575,send CD45 send CCL,"Mono prog, NK cells, Dendritic cells, GranMono prog, Neutrophils, lin, Monocytes","B cell, ECSinusoidal"
49,0.14528131570325623,0.0011228108478442379,receive EPHA send GALECTIN,Osteo,"EoBaso prog, Mono prog, small preB, Neutro prog, B cell, NK cells, EryMk prog, Dendritic cells, Fibroblasts, Osteo, MEP, GMP, T cells, lin, Neutrophils, LMPPs, Monocytes"
89,0.1456322372975048,0.0010917453865911194,send CCL receive CD22,B cell,"Mono prog, NK cells, Dendritic cells, GranMono prog, Neutrophils, lin, Monocytes"
182,0.14572637617215656,0.0010835475851107624,send CD52 receive TENASCIN,"MSPCAdipo, Osteo, Fibroblasts, Osteoblasts, MSPCOsteo","small preB, Neutro prog, B cell, Dendritic cells, proB, CLP"
187,0.1459438018711496,0.0010648302010103073,receive IL2 send MHC-I,MSPCAdipo,T cells
4,0.14612987864992927,0.0010490488272476234,receive SELPLG receive THBS,"EoBaso prog, Mono prog, small preB, NK cells, Neutro prog, CLP, Dendritic cells, GranMono prog, GMP, Neutrophils, CMP, MPP, lin, LMPPs, T cells, Monocytes","EoBaso prog, CLP, Chondrocytes, Neutro prog, Osteo, Fibroblasts, GranMono prog, GMP, Neutrophils, CMP, MPP, lin, LMPPs, Osteoblasts, Smoothmuscle, MSPCOsteo"
185,0.1465259310186921,0.001016174991889855,receive FN1 receive IL2,Neutro prog,"Chondrocytes, Osteo, Fibroblasts, Osteoblasts, MSPCOsteo, Monocytes"
192,0.14678591420479245,0.000995115071108051,send MHC-II receive VCAM,CLP,Dendritic cells
190,0.1472889580796946,0.0009555055442687066,receive FN1 send IL16,"Chondrocytes, Osteo, Fibroblasts, Osteoblasts, MSPCOsteo, Monocytes",Dendritic cells
160,0.14746419626788654,0.0009420528406686427,send MHC-II send SEMA4,"small preB, NK cells, Dendritic cells, Neutrophils, large preB, proB, T cells, Monocytes","Osteoblasts, B cell, Dendritic cells, CLP"
197,0.14820834588911092,0.0008868518654095098,send ANGPT send CCL,Neutrophils,"ECArteriolar, ECArteriar, ECSinusoidal"
128,0.14824753508995772,0.0008840293761546343,receive EPHA receive IL7,"MSPCAdipo, Osteoblasts, Osteo","ECArteriolar, ECArteriar, ECSinusoidal, MSPCAdipo"
198,0.14826307732291288,0.0008829122926195202,receive CCL send SELPLG,MSPCOsteo,lin
183,0.14835647074116606,0.0008762271554588578,send CD52 receive SEMA4,"Neutro prog, NK cells, B cell, Dendritic cells, Osteoblasts, Monocytes","small preB, Neutro prog, B cell, Dendritic cells, proB, CLP"
51,0.1485066929015429,0.0008655722767527198,send PECAM1 receive SEMA4,"Osteoblasts, B cell, Dendritic cells, Monocytes","small preB, NK cells, B cell, Dendritic cells, GranMono prog, Schwanncells, T cells, ECArteriar, ECArteriolar, LMPPs, ECSinusoidal"
52,0.1485066929015429,0.0008655722767527198,receive PECAM1 receive SEMA4,"small preB, NK cells, B cell, Dendritic cells, GranMono prog, Schwanncells, T cells, Osteoblasts, LMPPs, Monocytes","B cell, Dendritic cells, GranMono prog, Schwanncells, ECArteriar, ECArteriolar, Osteoblasts, ECSinusoidal, Monocytes"
140,0.14859661218573508,0.0008592519636049287,send CCL receive SEMA3,Fibroblasts,"Neutrophils, Monocytes"
200,0.14868448355874256,0.0008531168401060182,send APP receive IFN-II,NK cells,"B cell, Dendritic cells, CLP"
156,0.14874410549923997,0.0008489771648530468,receive SELE receive SELL,"Mono prog, Neutro prog, B cell, NK cells, Dendritic cells, GranMono prog, CMP, Neutrophils, T cells, CLP, LMPPs, Monocytes",ECSinusoidal
108,0.1489139775005229,0.0008372842263289584,send CD52 send SELPLG,"EoBaso prog, Mono prog, small preB, NK cells, B cell, Neutro prog, Dendritic cells, GranMono prog, Neutrophils, lin, CMP, large preB, proB, CLP, T cells, LMPPs, Monocytes","EoBaso prog, Mono prog, small preB, Neutro prog, B cell, NK cells, Dendritic cells, LMPPs, GranMono prog, Neutrophils, lin, CMP, large preB, proB, CLP, T cells, ECSinusoidal, Monocytes"
29,0.14944894130350983,0.0008014266017831112,receive GALECTIN send SELL,"Neutro prog, Erythroblasts, GMP, lin, ECArteriolar, LMPPs, Monocytes","EoBaso prog, CLP, Fibroblasts, lin"
206,0.14956795447172808,0.0007936450396239288,receive CSF receive IFN-II,NK cells,"MSPCAdipo, Smoothmuscle, MSPCOsteo, Pericytes"
204,0.14969279379051953,0.0007855577139306908,receive BAFF receive THBS,Neutrophils,"Chondrocytes, Osteo, Fibroblasts, Neutrophils, Osteoblasts, Smoothmuscle, MSPCOsteo"
6,0.14981660075220526,0.0007776126445130608,receive GALECTIN receive SELPLG,"small preB, Neutro prog, Mk prog, Erythroblasts, EryMk prog, MEP, Ery prog, B cell, HSC, Neutrophils, large preB, proB, LMPPs, Monocytes","EoBaso prog, B cell, EryMk prog, MEP, Ery prog, GMP, HSC, lin, CMP, CLP, ECArteriolar, LMPPs, Monocytes"
207,0.15024744596162262,0.0007505400745036386,send CCL send CD45,B cell,lin
15,0.15059215974207635,0.00072951092604546,receive CD52 send LAMININ,"Mono prog, NK cells, B cell, Neutro prog, GranMono prog, GMP, Neutrophils, lin, CMP, MPP, CLP, T cells, LMPPs, Monocytes","Osteo, Neutrophils, Smoothmuscle, Pericytes, Neutro prog, NK cells, Dendritic cells, MEP, MPP, lin, ECArteriar, CLP, ECArteriolar, Monocytes, MSPCAdipo, Mono prog, Chondrocytes, Erythroblasts, small preB, Fibroblasts, Ery prog, Schwanncells, GMP, CMP, Myofibroblasts, Osteoblasts"
62,0.15061941887308047,0.0007278714931124253,receive ANGPTL send GALECTIN,"MSPCAdipo, MEP, Osteoblasts, MSPCOsteo, ECSinusoidal","Osteo, Neutrophils, LMPPs, EoBaso prog, NK cells, Dendritic cells, MEP, GranMono prog, EryMk prog, MPP, lin, CLP, Monocytes, Mono prog, B cell, small preB, Fibroblasts, Ery prog, GMP, CMP, Osteoblasts, T cells"
122,0.15070842054246017,0.0007225424358551876,receive CSF receive GALECTIN,"EoBaso prog, MSPCAdipo, Monocytes, GMP, lin, large preB, proB, Smoothmuscle, MSPCOsteo, Pericytes","MSPCAdipo, ECArteriolar, Smoothmuscle, MSPCOsteo, Pericytes"
60,0.1507915278947067,0.0007175989547074336,receive APP receive CD52,"EoBaso prog, Mono prog, Neutro prog, GranMono prog, HSC, proB, Monocytes","EoBaso prog, GMP, HSC, lin, MPP, Myofibroblasts, Smoothmuscle, Pericytes"
145,0.1509317979191006,0.0007093262650054198,send LCK receive PECAM1,"Mono prog, NK cells",T cells
144,0.1509317979191006,0.0007093262650054198,send LCK send PECAM1,T cells,"Mono prog, NK cells"
130,0.15119575487846276,0.0006939979732896963,send SELL receive TENASCIN,"MSPCAdipo, Osteo, Fibroblasts, Osteoblasts, MSPCOsteo","EoBaso prog, Mono prog, Fibroblasts, GranMono prog, GMP, CMP, lin, MPP, ECArteriar, ECArteriolar, LMPPs"
92,0.15159009544834248,0.0006716691069755051,send PSAP receive VCAM,"EoBaso prog, NK cells, Neutro prog, Erythroblasts, Dendritic cells, Ery prog, GranMono prog, HSC, CLP, T cells, Monocytes",Schwanncells
18,0.15202051201994593,0.0006480587136361057,receive PECAM1 send SELL,"EoBaso prog, Mono prog, small preB, NK cells, B cell, Dendritic cells, GranMono prog, Schwanncells, ECArteriar, LMPPs, ECArteriolar, T cells, Smoothmuscle, ECSinusoidal","EoBaso prog, Mono prog, Fibroblasts, GranMono prog, GMP, CMP, lin, MPP, ECArteriar, CLP, ECArteriolar, LMPPs"
17,0.15202051201994593,0.0006480587136361057,send PECAM1 send SELL,"EoBaso prog, Mono prog, small preB, NK cells, B cell, Dendritic cells, GranMono prog, Schwanncells, GMP, MPP, CMP, ECArteriar, LMPPs, ECArteriolar, T cells, ECSinusoidal","EoBaso prog, Mono prog, B cell, Fibroblasts, Dendritic cells, GranMono prog, Schwanncells, GMP, CMP, lin, MPP, ECArteriar, CLP, ECArteriolar, LMPPs, Smoothmuscle, ECSinusoidal"
115,0.152126528862436,0.0006423625073564983,send GALECTIN send IL16,"EoBaso prog, Mono prog, small preB, Neutro prog, NK cells, EryMk prog, Dendritic cells, Neutrophils, LMPPs, T cells, Monocytes","Osteo, Fibroblasts, Dendritic cells, MEP, B cell, CMP, lin, MPP, CLP, Osteoblasts"
129,0.152142300653735,0.0006415190788823977,send SELPLG receive THBS,"Chondrocytes, Osteo, Fibroblasts, Neutrophils, Osteoblasts, Smoothmuscle, MSPCOsteo","EoBaso prog, Mono prog, small preB, NK cells, Neutro prog, B cell, Dendritic cells, LMPPs, GranMono prog, GMP, Neutrophils, CMP, lin, large preB, CLP, T cells, ECSinusoidal, Monocytes"
213,0.1526971455686451,0.0006124930267192389,send IL16 send TGFb,Dendritic cells,Osteoblasts
203,0.15279295475176216,0.0006076059869323426,receive SEMA4 receive THBS,"B cell, Dendritic cells, Neutrophils, Osteoblasts, Smoothmuscle, Monocytes","Chondrocytes, B cell, Osteo, Dendritic cells, Fibroblasts, Osteoblasts, Smoothmuscle, MSPCOsteo, Monocytes"
